,origin
CYBW,100
NY09,99
EIKY,99
LSGL,99
KI12,99
KTRL,99
KMTO,99
8FL6,99
NZOM,99
EFMA,98
YCAB,98
KUNU,98
30TA,98
68CA,98
02PR,98
YOLD,98
K11V,97
KGCN,97
FA46,97
KACK,97
KBUU,97
KNEL,97
KHJO,97
KETB,97
NY24,97
KTLR,96
04TX,96
1TS3,96
LIPR,96
KCXO,96
KFLD,96
CZBA,96
KMSS,95
KSSF,95
LFMK,95
NZFI,95
MMML,95
KEVY,95
9TX5,95
XS90,95
3VA3,95
GCRR,95
K2K9,95
EGCB,95
6IN6,95
K76F,95
FL73,95
NZKF,94
KMMK,94
KCTJ,94
KNFW,94
KEFT,94
WS17,94
KNOW,93
ZGSD,93
8CA5,93
68MI,93
K5I4,93
LIRQ,93
57AZ,93
FL19,93
VOBG,93
26MA,92
KRKP,92
EGDM,91
KHRT,91
49OH,91
LILG,91
CLC2,91
KSWI,91
KSPB,91
EGCV,91
KLXT,91
1ID4,90
KI68,90
XS39,90
48CN,90
GA53,90
EDWE,90
EGNH,90
FARA,90
AZ05,89
KEZF,89
KRAC,89
7MD8,89
EDBW,89
EGLD,89
67OR,89
37AZ,89
KLUD,89
8MA4,89
KSHD,89
KBEH,89
6NY1,89
EGSC,88
K3R9,88
KPJC,88
K1L3,88
LFMI,88
67NJ,88
KONX,88
KX35,88
KPTV,87
EIWF,87
RCMQ,87
43FL,87
KBFD,87
16MI,87
KBVO,87
KSTJ,87
EFKI,87
8TX7,87
80WA,86
LPAR,86
KI73,86
KF29,86
KOKV,86
EDNX,86
KDLO,86
EGMD,86
CYBG,86
KGYL,86
CO53,86
LEMU,85
KPBG,85
K3DW,85
ETHB,85
TX09,85
LL22,85
5OR5,85
LIPN,85
SBSJ,85
KX14,85
LTFE,84
LEDS,84
KRYW,84
KF46,84
SKMA,84
KL26,84
KGRI,84
VA42,84
04FL,83
UWKD,83
0FL0,83
KMRB,83
KLPR,83
CA89,83
K9X1,83
TN73,83
TS00,83
4SC4,83
76MI,83
KRBL,83
2CA4,82
KGLH,82
3TX9,82
LIPL,82
LERT,82
RJAA,82
67CO,82
75TE,82
7TN3,82
WA22,82
89NJ,81
LSMD,81
KL71,81
KJKJ,81
K1O2,81
YSEN,81
89LL,81
5LL5,81
KGVQ,81
KHBG,81
EPLL,81
KN47,81
EIME,81
YSPT,80
UGKO,80
KLSN,80
05FL,80
KOKM,80
KOBI,80
KPUJ,80
KCFJ,80
CL46,80
VA16,79
5PA3,79
KRMN,79
40XS,79
KASH,79
NC00,79
29OR,79
4OK4,79
5NC3,78
KN71,78
22CO,78
K1Q4,78
EFKE,78
ID00,78
WMKM,78
KHFJ,77
00KS,77
KBKF,77
KGNV,77
OK50,77
LSZL,77
KXBP,77
NZKE,77
OETH,77
LL10,77
UUMO,76
LGKO,76
LFOK,76
KBQR,76
KGYI,76
3VA7,76
K0W3,76
9CO2,76
LGTT,76
KCPT,76
K1H2,76
61VA,76
1TN0,76
6MI6,75
PA84,75
KNJK,75
59NC,75
WN35,75
MRPV,75
LILB,75
CYYB,75
NZWU,75
KSKX,75
K9F9,75
KMO6,74
KFOD,74
7II9,74
EGBT,74
K3N6,74
6NY2,74
LOAU,74
58KY,74
89IN,74
KLAM,73
CYFD,73
K2A5,73
TX15,73
EGSX,73
LEMT,73
KEYQ,73
KGOO,73
EDPR,73
37CN,73
LFMV,73
19OK,72
21XS,72
KPIB,72
KC16,72
FD14,72
YKAT,72
K29M,72
EHVK,72
EDNL,72
KCIC,72
LGSR,72
EHTE,72
FA83,72
11TX,72
K9D4,71
EGNE,71
1OA3,71
50NE,71
2PN5,71
GA06,71
LFOT,71
KE80,71
YWBN,71
19TE,71
ENKJ,70
47PA,70
MN40,70
CA39,70
YPED,70
KUNI,70
9WI8,70
LEPP,70
LIBR,70
LIPB,70
KAKH,70
KLNR,70
KJOT,70
LOWI,70
8CL1,70
7XS0,70
4FL9,70
KGOK,69
FA09,69
LFKF,69
XA09,69
EDXW,69
LEAX,69
KNY2,69
K50R,69
5WI4,69
KINT,69
KTOP,69
74OR,69
66MI,68
FL16,68
FA35,68
01FL,68
KOLU,68
EDML,68
K1F0,68
71KY,68
61CL,68
ULLP,68
NZOH,68
EGBN,68
KHBI,68
KAZO,68
YGYM,67
NK07,67
KSWO,67
EGAD,67
