,origin
NZPH,4
FD44,4
IN21,4
75II,4
OK24,4
68AZ,4
EGMF,4
WI86,4
2XS5,4
8TA1,4
51GA,4
8GA9,4
SDUL,4
KMBT,4
GA81,4
OI49,4
57TE,4
LA79,4
AZ78,4
ID65,4
K82J,4
KU76,4
IN01,4
NE53,4
IN33,4
06NC,4
VIJP,4
EDHE,4
EDFD,4
EDOW,4
YNAR,4
LFKS,4
WIMM,4
OI66,4
K3G3,4
00IL,4
51TN,4
MO87,4
2IG4,4
KRWN,4
EGML,4
44CL,4
CNP8,4
KFCI,4
WIBD,4
LFKY,4
YLEG,4
KSTC,4
4PA0,4
GA87,4
98GA,4
2OH8,4
6CL4,4
ETSH,4
K2G9,4
SDJN,4
99TE,4
LKCS,4
K7F5,4
OH57,4
MI25,4
TE21,4
XA12,4
9GA9,4
7AL7,4
9TE6,4
2WN6,4
ETHA,4
3IN9,4
NJ47,4
EDAW,4
4PA3,4
PN99,4
LJMS,4
OK37,4
2TX7,4
CSG5,4
68FD,4
CAP9,4
8LL0,4
EDMU,4
CCN4,4
CNS6,4
9MN1,4
9NY4,4
3IL9,4
1FD0,4
KAXX,4
IL58,4
6NK8,4
14TX,4
75NC,4
YYRM,4
1GE3,4
EDEF,4
4AZ8,4
OI12,4
KLWA,4
MD95,4
7AL9,4
IS88,4
2OI4,4
LKKY,4
EDSO,4
AL33,4
1XS1,4
EBZU,4
MS37,4
CNF3,4
YBXH,4
1OR7,4
2TA6,4
EDLZ,4
NJ59,4
MD41,4
49CO,4
IA02,4
CPS2,4
EPGI,4
1AL8,4
4PS6,4
5IS7,4
6XS3,4
K0G3,4
LFLK,4
K44N,4
AK36,4
SUJL,4
KTNU,4
LFCC,4
11VG,4
6MO1,4
II08,4
77MO,4
7MN6,4
LL43,4
FAKR,4
MU24,4
51OI,4
K69K,4
4NJ0,4
18IN,4
LSZU,4
LIAQ,4
NM01,4
KJLN,4
KIDL,4
6OK1,4
GA68,4
ESUO,4
WS91,4
57PN,4
18NE,4
K3G1,4
2NJ6,4
LIAF,4
49IL,4
2WI4,4
YCXA,4
NZTU,4
3FL8,4
WT04,4
PS35,4
3MD0,4
PN84,4
KUOX,4
AR09,4
3TX1,4
2CO2,4
VG33,4
6MN8,4
YBRA,4
EGPK,4
KL04,4
ETSA,4
TN74,4
34IL,4
SNGA,4
4PA1,4
K42I,4
GA67,4
SDIU,4
99XS,4
03IL,4
0WN0,4
39II,4
88VA,4
KANK,4
LFKE,4
70VA,4
37PA,4
CA88,4
TA77,4
2TX1,4
PN35,4
7AK3,4
22TE,4
99IN,4
MT84,4
YCAL,4
EKSP,4
6II0,4
NA67,4
KVNW,4
LZTR,4
8WI2,4
7MO7,4
ESML,4
1MO3,4
IA83,4
IA48,4
ESMH,4
MN98,4
65PA,4
7WA4,4
61NJ,4
8NK4,4
KAGR,4
1PA0,4
17OI,4
EKHM,4
KTLH,4
ID48,4
NK04,4
KFTK,4
EDSL,4
65OH,4
CN24,4
TA80,4
EYVP,4
TE10,4
BIMS,4
LFMD,4
6WI1,4
KF22,4
08MA,4
49FD,4
NH96,4
KBVN,4
69VA,4
DAOI,4
2VA6,4
ESKG,4
YATN,4
08NC,4
XS34,4
ESQO,4
41IS,4
EBBZ,4
88VT,4
KJWG,4
LIMZ,4
TX98,4
6IL0,4
WI07,4
NV11,4
5LL7,4
MGGT,4
II94,4
OA23,4
EDWP,4
II76,4
LL34,4
07MI,4
67IL,4
3OH4,4
7IS7,3
5MA9,3
LFIS,3
10IA,3
49IN,3
XS88,3
98OH,3
90IA,3
3II2,3
VA17,3
46NY,3
IS85,3
EDNO,3
25SC,3
MO27,3
EDRD,3
CYPW,3
PS06,3
NX01,3
LPSR,3
0NK1,3
LFQC,3
8GA6,3
77NC,3
00PN,3
EDXE,3
89WI,3
EGUL,3
34PN,3
6OI5,3
4AL8,3
NK82,3
II04,3
PS38,3
7NY0,3
OA04,3
3OL8,3
4VA4,3
OH59,3
KSBN,3
AK84,3
SWJX,3
48NC,3
OK55,3
CO42,3
YBBA,3
00FA,3
MS38,3
EDMW,3
XS31,3
8MO8,3
II15,3
15ID,3
MD47,3
1NY9,3
6II6,3
TX04,3
LZZI,3
53TS,3
TVSU,3
YLET,3
6OH7,3
YMEO,3
CFX6,3
71OK,3
0MS8,3
LTAB,3
FAMY,3
OI72,3
KSFB,3
MS40,3
KSUD,3
65WN,3
76NC,3
65TA,3
AL84,3
KGWO,3
OE53,3
IN99,3
LFRQ,3
EERI,3
LKKA,3
LFBN,3
1OK8,3
1II2,3
PASX,3
CSZ3,3
EKHG,3
9PS8,3
OK18,3
KEZZ,3
6OK2,3
EDQW,3
LIRH,3
32CL,3
CD39,3
AR01,3
CA13,3
5TX4,3
1LL2,3
EDUZ,3
2PN0,3
EDTU,3
LL55,3
K5M5,3
EGXY,3
VA08,3
4II9,3
OH13,3
39OH,3
K6A1,3
K5W5,3
50IL,3
38PA,3
IL13,3
EPEL,3
MS25,3
MY35,3
4CO7,3
68NY,3
OH38,3
NK12,3
8OK0,3
LFPZ,3
MA80,3
FA24,3
2IN2,3
EKCR,3
KE51,3
KSBY,3
LIEO,3
NE80,3
NZAG,3
9OA8,3
7NY8,3
37XS,3
MMMA,3
EDAD,3
ND99,3
KBXA,3
SNUH,3
KULM,3
OI73,3
LKKO,3
ENRY,3
0IN9,3
6KY3,3
TA27,3
0NK9,3
SC08,3
K3Y2,3
YCFN,3
1IL6,3
DE27,3
GA18,3
ID22,3
8TS6,3
EDGA,3
KEHO,3
KCFD,3
MD61,3
CNR6,3
MO81,3
LKTC,3
K23R,3
37LL,3
74IN,3
3VG3,3
EDCB,3
KWRB,3
TE06,3
44MU,3
OI91,3
KFXY,3
IL07,3
VTBT,3
2OI2,3
5OI5,3
RKRS,3
20OK,3
0NK6,3
9VG9,3
05II,3
9II4,3
6II8,3
WBGJ,3
II25,3
1TX9,3
51FD,3
IS60,3
MS21,3
EGVA,3
XS99,3
VEBA,3
OK85,3
EDGP,3
LFFI,3
14OI,3
LGPL,3
2MO2,3
LOGG,3
LFDC,3
LSZW,3
DAON,3
KASD,3
CEN4,3
3IN4,3
NY63,3
LKHD,3
EDOJ,3
KAFJ,3
29VA,3
ESME,3
0FD5,3
4OA8,3
LL38,3
0IN5,3
IS15,3
4NC8,3
MRER,3
EDPW,3
22OI,3
CA41,3
0IN2,3
0FD9,3
EEHA,3
OK79,3
K5S9,3
2OH6,3
TA66,3
30WI,3
31LL,3
SSWH,3
LL81,3
91TA,3
EGBR,3
MD14,3
0WI6,3
ND24,3
2OK6,3
PN00,3
6NJ1,3
33FL,3
NM89,3
YCRL,3
5PA8,3
59FD,3
EDMC,3
4VA1,3
LLHZ,3
LOXT,3
LZDV,3
LFIB,3
KPPO,3
7KS0,3
9VA1,3
MD88,3
EGHE,3
EPZG,3
EGXP,3
KM36,3
CD15,3
K0M0,3
1IN4,3
EDHS,3
6AK5,3
XS07,3
EDRN,3
EDKV,3
KFFX,3
37OI,3
CPM7,3
02OH,3
CA49,3
EDCK,3
CPF6,3
NA17,3
EKST,3
69IL,3
AR18,3
EGNI,3
47NC,3
7WA5,3
SDTE,3
63IL,3
LSPD,3
79TE,3
89MO,3
YWVL,3
LHSY,3
NH38,3
EDHG,3
EDKO,3
1TS0,3
KPRO,3
9CO8,3
NK27,3
K3M3,3
EDUS,3
28TE,3
38NY,3
EHLW,3
00GA,3
LL13,3
EDKL,3
SADS,3
0KS0,3
57TX,3
RJTJ,3
MT03,3
EDRL,3
42OH,3
63OH,3
SDAE,3
24MN,3
K2C8,3
49TA,3
SDAF,3
EDBL,3
93LL,3
LA26,3
YNHS,3
LRCL,3
MD93,3
EDAN,3
LFKC,3
MU42,3
KS48,3
OI85,3
OI11,3
1OH4,3
6CO3,3
EDBY,3
TA75,3
CAT1,3
58OH,3
25FL,3
VG58,3
CEH2,3
XS66,3
4VA9,3
VT44,3
LEHC,3
EGTP,3
CPN5,3
3NK4,3
EDAR,3
LFEZ,3
EKFU,3
1OR6,3
94NC,3
UHBB,3
6PA0,3
3AK1,3
LKCM,3
VG64,3
11TE,3
KMIW,3
MMIM,3
02MI,3
WI56,3
40PN,3
64OH,3
3TX5,3
39WA,3
67WI,3
3GA9,3
95NY,3
MI02,3
OR66,3
EPMX,3
7MI2,3
AZ71,3
OMAZ,3
19NK,3
LL26,3
LECF,3
56FL,3
KF47,3
6IS0,3
19OR,3
66CL,3
EKVJ,3
EDWU,3
IA93,3
92CO,3
EGDN,3
91KS,3
36OH,3
RJFZ,3
K1K2,3
6TX2,3
LOLO,3
34CD,3
KAMN,3
TE16,3
EDCH,3
SDDL,3
8MD4,3
53IA,3
KFQD,3
TS76,3
NZAN,3
34TE,3
EIKH,3
LEVT,3
8MO7,3
30LL,3
NY55,3
6VA2,3
14XA,3
7NJ7,3
7IL8,3
PN73,3
EDGX,3
IS86,3
KMHK,3
TN71,3
19OH,3
2AR5,3
2LL1,3
3WN7,3
07FA,3
SIMK,3
KT85,3
OE47,3
EIGN,3
4II2,3
1NC4,3
MA89,3
EDNI,3
KJKA,3
IN10,3
54TE,3
EICN,3
OI89,3
VO80,3
LFIR,3
LFAY,3
MS13,3
EDNU,3
23DE,3
SDED,3
SNRU,3
K2M2,3
KI63,3
MI95,3
23NE,3
KGNF,3
4OH3,3
9MO3,3
06OI,3
64CN,3
3NC9,3
LFDQ,3
CPS4,3
CKZ7,3
8WI8,3
28WA,3
MD20,3
K3J7,3
KOEA,3
LOAD,3
EGXH,3
CD45,3
TE36,3
LFKL,3
MA75,3
KMDZ,3
7MI5,3
EFUT,3
II29,3
IS52,3
71IN,3
IS59,3
IS40,3
IL24,3
47OH,3
LJAJ,3
MY46,3
VA12,3
7OR9,3
EDAE,3
4MD4,3
NY29,3
TA93,3
34IS,3
1KS1,3
98OR,3
YTGA,3
09MA,3
TX48,3
LGNX,3
72LL,3
CA05,3
TA47,3
EEJI,3
85NC,3
VA32,3
MS20,3
82LL,3
1IL1,3
EDKH,3
MD59,3
LERE,3
4IS1,3
55OI,3
EDND,3
ETNJ,3
SJEH,3
37MO,3
LFCW,3
EGKC,3
CNJ4,3
K4A6,3
LLTN,3
2NC6,3
3MD6,3
AZ31,3
EFMN,3
PA61,3
40AR,3
EDCF,3
24CT,3
VTBL,3
EGFP,3
21IN,3
LPJF,3
21OG,3
VOTX,3
0AZ1,3
PA74,3
5TN4,3
VTBK,3
9IN4,3
2PS3,3
VTBI,3
EDVI,3
KN68,3
48CO,3
KH88,3
5FD3,3
LZNZ,3
EFML,3
MDBE,3
81WI,3
8IL1,3
LKZM,3
K0B8,3
59AK,3
EGYO,3
XS24,3
59PN,3
6NC5,3
7TE9,3
NZWT,3
IN81,3
38CA,3
EG03,3
8TE1,3
39IL,3
WA08,3
83FD,3
EGND,3
WA45,3
4TS5,3
KOCW,3
UMMB,3
WI89,3
KMAL,3
20AK,3
EBDT,3
56IS,3
0TA8,3
LL24,3
NH67,3
PN64,3
WI50,3
NJ24,3
EDWS,3
79OI,3
CNJ3,3
LKPN,3
3PA8,3
EPNT,3
6GE2,3
LFDF,3
WS51,3
12OH,3
LJVE,3
MI22,3
5IS3,3
3PA6,3
ME89,3
89IS,3
63OR,3
GA93,3
EDRH,3
EGHU,3
XS20,3
06CO,3
2TS2,3
KL31,3
OR23,3
EIMN,3
8TN5,3
IN80,3
K7M1,3
NZVL,3
28NY,3
2OK0,3
IN14,3
CO56,3
6IN8,3
IS77,3
5II2,3
51OH,3
MD45,3
74NY,3
EDKU,3
KCZG,3
0CL0,3
1WI9,3
LFMH,3
CT59,3
4FL1,3
SDOI,3
06TN,3
0NC7,3
0ID5,3
11TS,3
OH11,3
MY15,3
ETOR,3
KR47,3
YGLG,3
KA50,3
7MD0,3
LL64,3
31XS,3
K2O1,3
53XS,3
KJXI,3
OI68,3
YGAY,3
XA51,2
IL02,2
36CN,2
LFDI,2
EDGZ,2
SSEW,2
KMVN,2
OPRN,2
1NK7,2
KC22,2
EDTW,2
K7A4,2
EGSQ,2
3VA2,2
ID61,2
CEX9,2
JY07,2
82OH,2
LILQ,2
28NR,2
CPL3,2
LFFY,2
2WV5,2
MU41,2
78KS,2
5FD1,2
98LL,2
3AK2,2
OG52,2
5FL8,2
IS43,2
WS25,2
CRJ2,2
6CO6,2
EBGG,2
KNFD,2
GA98,2
53OH,2
SWRM,2
NY73,2
FAWC,2
YCNR,2
3KY4,2
LOGP,2
LFGK,2
75DC,2
32PA,2
CDF5,2
LFEF,2
SSCO,2
5TX6,2
EDLX,2
63AK,2
MY90,2
EDCY,2
WI1B,2
54NY,2
2MD3,2
39PN,2
K19M,2
2TE5,2
LKBU,2
EBTY,2
4XS9,2
LFBM,2
LDRG,2
LL40,2
XA00,2
TS67,2
6IL3,2
3WI4,2
PN49,2
SNLO,2
CT13,2
IN30,2
LFNU,2
SDBY,2
7IS3,2
SBAE,2
9PA0,2
KM73,2
EKVH,2
KLLQ,2
KPVJ,2
CKF8,2
KSGT,2
LFFB,2
VA68,2
EFLL,2
LCRA,2
EDTC,2
3NR3,2
5MS3,2
6LL0,2
12TX,2
RCAY,2
II59,2
MY28,2
EFHV,2
KAIO,2
93MS,2
AK12,2
24OI,2
CPG5,2
KW99,2
71PN,2
7WI5,2
IS26,2
LS92,2
OH17,2
4OR6,2
LPTN,2
TE47,2
KS83,2
WI46,2
63GA,2
LKSO,2
TX74,2
90PN,2
GA74,2
2WN2,2
WN03,2
WI20,2
0II9,2
XLLL,2
2GA1,2
KFNB,2
EDFN,2
LKUO,2
GA92,2
YFIL,2
WICB,2
EGVP,2
EISG,2
EKHV,2
K5R4,2
00AS,2
LIDC,2
CTR6,2
75NE,2
7OI7,2
27PN,2
78OH,2
II33,2
II69,2
LJBO,2
GA83,2
0CA6,2
ESSK,2
II30,2
70KY,2
MO86,2
CLB2,2
LEAM,2
CGL2,2
IL97,2
II37,2
3NY5,2
EDLO,2
LKCV,2
TX62,2
5CL0,2
NY70,2
KIFP,2
29MD,2
TX22,2
20TA,2
9XS2,2
MN74,2
CJD3,2
44MI,2
XS46,2
SSTN,2
XA84,2
9AA1,2
EDGE,2
0AK9,2
NZRC,2
LHFP,2
72XS,2
2WI2,2
32CA,2
30PA,2
KF30,2
7OH5,2
AK47,2
1OK3,2
LFGC,2
SNDV,2
CO09,2
SSEF,2
33OH,2
SDIB,2
EGBL,2
SN93,2
MD23,2
02FL,2
WV06,2
3ID7,2
39IS,2
1II3,2
SVCB,2
69OK,2
LIRS,2
15NC,2
8TE8,2
9XA4,2
IN00,2
79TS,2
YGGO,2
KMEB,2
88AK,2
OR85,2
VA73,2
1KS2,2
LKRO,2
4MD7,2
OG28,2
3LL5,2
MS15,2
CFY4,2
CPM5,2
2TA9,2
LFMU,2
WA59,2
MS74,2
LFIG,2
K17G,2
90IL,2
CD01,2
UMOO,2
LFAK,2
56IL,2
CNT6,2
2NY7,2
YBID,2
9XS7,2
7TS4,2
CES5,2
02ME,2
VA44,2
08CO,2
85PA,2
K3I2,2
90VA,2
LFIF,2
KI71,2
93PA,2
KOIC,2
0OI4,2
VA95,2
27OK,2
CYQW,2
5MI3,2
KW78,2
EIPT,2
K2G1,2
LL07,2
33OI,2
IS08,2
PN12,2
LFCY,2
70OK,2
5LL3,2
KAEJ,2
AK92,2
LKRK,2
LGPA,2
51IS,2
IL59,2
EPKA,2
23CO,2
KCAV,2
TX51,2
PA70,2
K04G,2
EDNK,2
EDRX,2
SDMJ,2
YPRE,2
YWGT,2
47IL,2
NE43,2
IN57,2
KBHM,2
4MD3,2
07MD,2
LD57,2
2KS0,2
IS71,2
ETNS,2
EDPS,2
WI03,2
KEZI,2
8NY3,2
25MD,2
RK52,2
K9F0,2
RPLB,2
LFCP,2
0CD5,2
LFHM,2
30NY,2
CD03,2
TA08,2
NJ60,2
43PA,2
SJUL,2
K08K,2
KPNT,2
77AK,2
ESMI,2
NJ63,2
36OI,2
TS27,2
LZJS,2
1OA5,2
7MI8,2
CPD2,2
5WI9,2
15MA,2
EGVO,2
1II5,2
EGCT,2
KPMH,2
62MI,2
YILA,2
33GA,2
EDXZ,2
72KS,2
VA46,2
5OH0,2
VA58,2
3PN0,2
20TS,2
CCI9,2
AK73,2
EPRP,2
PA01,2
NC35,2
09OK,2
2II0,2
64AK,2
VT30,2
02WI,2
0OR5,2
NY27,2
NY60,2
KNDY,2
38CL,2
KT30,2
LHSB,2
MN62,2
EBMG,2
CPA4,2
SC26,2
33MO,2
YADI,2
8TX6,2
YGRD,2
4MD9,2
GMFO,2
YTLG,2
95IN,2
29II,2
K1G1,2
KBAF,2
45MO,2
MDSI,2
YBUD,2
87XS,2
MI72,2
LOKF,2
MY37,2
MU97,2
YBCH,2
KS03,2
CDJ5,2
EDPU,2
OK80,2
SDSM,2
36OK,2
CFX2,2
KAQW,2
29OH,2
IL94,2
30AK,2
65IS,2
67AR,2
TX41,2
KD02,2
48WA,2
KPOH,2
1OH2,2
6TE1,2
74TE,2
5IN3,2
CA97,2
CYPT,2
95OH,2
KMGC,2
DE33,2
II42,2
OI25,2
EDOX,2
ULKK,2
4NK4,2
MI39,2
OL99,2
EDNT,2
KLPC,2
EDFS,2
2VG3,2
LFNG,2
90TE,2
OPBW,2
EGQS,2
08NE,2
81GA,2
EKSN,2
NY17,2
MS33,2
VT09,2
MO61,2
KBCK,2
DE34,2
EDHP,2
KBKN,2
WI97,2
2IL6,2
IN43,2
LFCH,2
28OR,2
PA85,2
1TS1,2
3TX7,2
95CO,2
EDPI,2
SIFQ,2
EFHL,2
LFFG,2
MU00,2
LFLZ,2
KKIC,2
17NK,2
OH74,2
4MD1,2
LKUL,2
58IL,2
2MI0,2
88TE,2
KRCZ,2
8IS2,2
EDBS,2
LDZD,2
KLGC,2
KMXO,2
KFKA,2
0LL3,2
II75,2
PS12,2
NC32,2
0NK2,2
SSMX,2
NY85,2
4GE2,2
OH91,2
2NK3,2
EHDL,2
GA75,2
IL64,2
KTSP,2
86WI,2
EDUW,2
49FL,2
9CL4,2
RCFN,2
KTEW,2
92FL,2
TA78,2
5MS1,2
EGDO,2
OK20,2
NY42,2
EBZR,2
OK22,2
XA78,2
KI95,2
XA42,2
OK15,2
XA34,2
K8N2,2
59AZ,2
3IL1,2
PS69,2
3FD4,2
NJ30,2
4LL9,2
TA83,2
VA97,2
TE17,2
87OH,2
KK62,2
89TS,2
LFOR,2
0IA8,2
56OK,2
MS93,2
IL31,2
3NK6,2
MU98,2
EPJG,2
KT92,2
97MT,2
05OI,2
9OH9,2
EGSM,2
KF10,2
SDJV,2
64MO,2
SJTQ,2
ETHE,2
CSV8,2
91IN,2
6NK2,2
EKFS,2
CO93,2
XA48,2
EDOZ,2
LFCD,2
KPNC,2
70FA,2
79IS,2
EYPA,2
22GA,2
28OH,2
8KS1,2
99XA,2
KSNL,2
SDMV,2
NY19,2
KCHU,2
EFHN,2
EDHD,2
VA86,2
CSD3,2
EDGJ,2
12II,2
LIPS,2
KFSI,2
MY80,2
MI01,2
VG31,2
4TA0,2
4OR0,2
IG05,2
0XA8,2
1XA6,2
NY31,2
30MI,2
KD74,2
13IN,2
EBSP,2
K26A,2
NR04,2
59NE,2
KW96,2
LZPW,2
08VA,2
92MI,2
7II3,2
4LL0,2
64CT,2
LHBS,2
2TN8,2
EG32,2
AR89,2
26IS,2
32MO,2
TS55,2
II39,2
9MI5,2
RJAK,2
MU63,2
SSOL,2
NK09,2
6OK9,2
LOLE,2
K7A8,2
EGLP,2
69FD,2
LIDR,2
XA43,2
CNV8,2
6NC4,2
TX96,2
K41N,2
5NC1,2
CEN3,2
UUMI,2
05IL,2
EPTM,2
91VA,2
OR02,2
XA64,2
0MD2,2
EDGR,2
LFGY,2
NE56,2
EDUA,2
YYAK,2
KMKT,2
YGFN,2
20IS,2
68TS,2
KHLG,2
KILE,2
0IN1,2
AA06,2
0II5,2
09WI,2
AK10,2
9IN6,2
EBML,2
38ID,2
EDAT,2
GVBA,2
0IL3,2
LETF,2
7CL0,2
NY72,2
63XS,2
EGUD,2
MD83,2
95MO,2
K4G6,2
54TA,2
1IL8,2
50NC,2
LIQB,2
0PS0,2
LTBP,2
SBRP,2
23TA,2
5II8,2
GCFV,2
TX97,2
EICL,2
EGDD,2
32CO,2
WN23,2
LFCA,2
62IS,2
EIIR,2
KX13,2
EKLS,2
05AK,2
IL34,2
EBHN,2
LKPK,2
LKVL,2
PN68,2
85IL,2
49TE,2
GCHI,2
8VA2,2
6TX8,2
PS73,2
NC44,2
5WI2,2
TS36,2
2GE5,2
EPKR,2
EENI,2
VAOZ,2
66II,2
KO65,2
OR61,2
78XS,2
FASY,2
0PS7,2
81IL,2
EDNJ,2
6IS8,2
EHAL,2
EGYE,2
SDBK,2
9CO6,2
8IL0,2
6OH3,2
22CL,2
LFQE,2
03PR,2
6TS8,2
CPC3,2
AK86,2
CO25,2
LIPG,2
YGDO,2
RJBH,2
LFAR,2
KNFE,2
CA44,2
MO02,2
EBIS,2
7MO6,2
WV67,2
LL54,2
PA40,2
UKKM,2
EDLC,2
3OA8,2
25OH,2
K7B2,2
70OH,2
K8A6,2
0KS2,2
2TS0,2
MU02,2
YWOM,2
9TX1,2
YCDS,2
06OH,2
MO88,2
LFPU,2
85IN,2
LLBO,2
NC26,2
LFQY,2
0AR7,2
LIDL,2
YNBR,2
EKHE,2
KK06,2
55GE,2
LFPF,2
PN53,2
II93,2
EPNM,2
LKKV,2
09II,2
5ND3,2
1CA1,2
EFAH,2
63NC,2
88CO,2
58IN,2
4II4,2
ZYHE,2
56MO,2
CA38,2
K71J,2
1PA3,2
3PN6,2
EDNQ,2
FASD,2
34AK,2
NE39,2
YPAC,2
62IL,2
CO19,2
90CA,2
69TS,2
7VG0,2
ENHN,2
NM61,2
2XS1,2
5WI8,2
88GA,2
TX72,2
II12,2
YBAO,2
MY47,2
LFMG,2
NY67,2
9TA3,2
SIIA,2
07VA,2
KFRI,2
NY15,2
K6K4,2
TX39,2
ESSC,2
64IL,2
VG05,2
OK28,2
EGUW,2
XS06,2
20VG,2
GA73,2
CO92,2
K2MO,2
5VG2,2
TA26,2
MT18,2
2OH2,2
18TX,2
LHHO,2
EDOH,2
68KS,2
1AK4,2
CO52,2
8OA9,2
KPHK,2
7LL8,2
8CO9,2
CO61,2
3GE9,2
K5A1,2
1MS0,2
PR20,2
31TX,2
0TS4,2
39AK,2
LGRS,2
EKBH,2
1PN0,2
PA72,2
IN56,2
NY89,2
KK83,2
EDCV,2
VT55,2
AZ74,2
LKMH,2
YTMS,2
LIDW,2
EDVT,2
EKGO,2
20OR,2
CD23,2
21AR,2
3NY9,2
CD13,2
KDHN,2
8WI0,2
3IL7,2
2TX8,2
1MU4,2
MD56,2
YCRG,2
60MI,2
FL77,2
6NC8,2
ENSO,2
12IN,2
93MT,2
VA27,2
CPB9,2
EPKS,2
YWMC,2
WI16,2
KMFD,2
EDLK,2
KW22,2
COR8,2
3FD6,2
LFNH,2
06IL,2
83IN,2
CNS4,2
EDCJ,2
4IA9,2
MD91,2
GA10,2
MY92,2
XS72,2
87TA,2
7OH7,2
13PA,2
1LL0,2
3TX4,2
12CL,2
LL49,2
17OK,2
KGKT,2
SUMO,2
66NY,2
1TN6,2
TA46,2
6PN9,2
IS54,2
NK74,2
KCNH,2
PN71,2
K68S,2
0OK3,2
6MD3,1
LFGE,1
K96D,1
KH17,1
MN63,1
25OI,1
LPMT,1
3TA5,1
LHUH,1
VG30,1
NY13,1
TE84,1
11LL,1
CNY4,1
GA99,1
LFJE,1
6NK1,1
EFNU,1
65CN,1
VIAM,1
0PA2,1
VTPI,1
EDFK,1
PS64,1
02KS,1
EDBC,1
MD69,1
KRKR,1
K3TR,1
WI70,1
MD42,1
24IN,1
EGYM,1
KCDI,1
EDKW,1
27WI,1
KX58,1
NC45,1
LKPL,1
KGGI,1
IS65,1
ESST,1
LS86,1
FACR,1
12KY,1
II90,1
1AR2,1
WS22,1
7AK4,1
33IL,1
IL95,1
06PA,1
KLBX,1
25MO,1
EPGL,1
LFNY,1
SDOX,1
NK01,1
4PA6,1
LKHB,1
FD22,1
6OH4,1
35NY,1
EVEA,1
VIPT,1
SWBE,1
LFOC,1
EKSL,1
5GA2,1
NH69,1
KH96,1
XS60,1
CNU8,1
GA80,1
14PA,1
XA98,1
7PA1,1
OH26,1
AL40,1
3NC3,1
ETHF,1
00IS,1
LFID,1
VA99,1
OH67,1
KRPH,1
LFJD,1
PN18,1
01TE,1
LFQL,1
LKKT,1
KSLO,1
EFNS,1
2WN3,1
II65,1
PS08,1
66CA,1
1II8,1
4MO5,1
1AR1,1
LOGK,1
7FL3,1
AZ60,1
KUKL,1
7TE2,1
VOMD,1
CPE4,1
EFHM,1
WMBF,1
5TA8,1
CD48,1
AK67,1
PA51,1
PA18,1
68IN,1
CL01,1
K3M9,1
K3G6,1
3GA3,1
TN83,1
42XS,1
LKVM,1
EDAX,1
62TX,1
98TS,1
SJJR,1
71AK,1
SNKF,1
VA72,1
MS30,1
KI10,1
PS67,1
LDVC,1
9NC7,1
4IN7,1
VT14,1
06NH,1
FALW,1
COL2,1
87IS,1
IA85,1
01PS,1
1WI8,1
EDVH,1
MD05,1
PS27,1
KMEY,1
8PA4,1
K8G2,1
34PA,1
0TN6,1
EDPE,1
PN08,1
50TX,1
WV19,1
LZMA,1
OI59,1
24WI,1
6LL4,1
56NC,1
SJHO,1
IN11,1
WIBT,1
49WA,1
EKMN,1
SDJA,1
36WI,1
IS01,1
40TA,1
LFRK,1
SN75,1
SNLN,1
KMTV,1
36TX,1
SDST,1
NZGA,1
SDQX,1
02MS,1
0MI1,1
55IL,1
AK65,1
IA33,1
4OI8,1
WS09,1
MO07,1
4NK6,1
7NJ2,1
IL32,1
NJ65,1
EPGY,1
EDXP,1
5WN2,1
YNRM,1
LKMR,1
DAOL,1
0TS8,1
86IS,1
KRQB,1
49KS,1
KHLX,1
87MO,1
6MO0,1
SWLA,1
KTSO,1
TX52,1
6NK4,1
77CL,1
3TX3,1
4MO7,1
PA36,1
UT10,1
97CA,1
KTRM,1
TS29,1
17XA,1
4FL6,1
KL84,1
06NY,1
49PA,1
YRUG,1
UKVN,1
1LL6,1
SSEE,1
IA23,1
LFPD,1
EDNB,1
1NK6,1
SSGI,1
LOGM,1
12IL,1
5TS8,1
GMMB,1
KMPV,1
WS15,1
70NC,1
LA13,1
DE29,1
4GA1,1
4AL6,1
6LL8,1
2MD6,1
62IA,1
LJDI,1
YKCK,1
KT23,1
2NK1,1
K2RR,1
SJPH,1
2LL4,1
SNGN,1
4XA4,1
KHCO,1
90IN,1
OH43,1
65TE,1
OA14,1
23AK,1
WS46,1
1LL8,1
72FL,1
1AR5,1
6MO7,1
ESMF,1
LFAF,1
EDHB,1
52AZ,1
LKSB,1
EDGI,1
SDFL,1
SNCA,1
9IN7,1
4PA7,1
70MD,1
KT42,1
28FL,1
OH39,1
IN44,1
KCLK,1
4PS7,1
LA07,1
7CO8,1
LKZN,1
SJQE,1
KCOT,1
48TS,1
MS54,1
OETN,1
3WI3,1
LA87,1
54IS,1
CO49,1
NE24,1
LFEA,1
SDNO,1
NE57,1
08TE,1
YYAS,1
KCRT,1
EDQI,1
TE90,1
CES2,1
9WN3,1
YRBB,1
CPR3,1
2IN6,1
7ND8,1
3TX8,1
35NC,1
LFMP,1
LGSO,1
2NY9,1
SBPK,1
55WI,1
13WI,1
PA07,1
17OH,1
VA98,1
WS05,1
SJFQ,1
TE70,1
NE38,1
2AZ5,1
VIAR,1
OI60,1
MS35,1
EVTA,1
EHTL,1
6PN5,1
73NE,1
81AK,1
3MO7,1
MN55,1
9CA0,1
JY08,1
YCDB,1
9IS2,1
87OI,1
0CA9,1
K0V4,1
EGCA,1
PA45,1
